city_name,latitude,longitude
Hrubieszów,50.80679625,23.886349876429893
Janów Lubelski,50.7065895,22.4110663
Modliborzyce,50.7534467,22.3291714
Krasnystaw,50.99184805,23.165038002215837
Izbica,50.8927773,23.1587974
Kraśnik,50.943493200000006,22.208358045515133
Annopol,50.8851655,21.8550836
Urzędów,50.9939046,22.1435756
Ostrów Lubelski,51.4969068,22.8560394
Kock,51.6383917,22.4478158
Lubartów,51.4660473,22.6052895
Kamionka,51.4711228,22.4644249
Bychawa,51.0152225,22.534535
Bełżyce,51.175063,22.2749995
Łęczna,51.3002941,22.886766
Łuków,51.93008,22.3790669
Stoczek Łukowski,51.9567901,21.961593591089837
Opole Lubelskie,51.1475365,21.9664152
Poniatowa,51.19298,22.06505
Józefów nad Wisłą,51.0408518,21.8296779
Parczew,51.639,22.9
Puławy,51.4171713,21.9720582
Kazimierz Dolny,51.3220058,21.947372
Nałęczów,51.2876064,22.214792
Kurów,51.3888553,22.1862143
Wąwolnica,51.2935314,22.1465024
Końskowola,51.4091024,22.0517983
Radzyń Podlaski,51.7827253,22.6208818
Czemierniki,51.6743703,22.6380937
Dęblin,51.567231750000005,21.856244041776023
Ryki,51.6266968,21.935696
Świdnik,51.2204629,22.6998639
Piaski,51.1378115,22.8475225
Tomaszów Lubelski,50.4469315,23.4165561
Tyszowce,50.6172008,23.6982172
Łaszczów,50.532615,23.7263929
Lubycza Królewska,50.3411612,23.5196564
Włodawa,51.54127795,23.529036806689675
Szczebrzeszyn,50.6946972,22.9786754
Zwierzyniec,50.6145878,22.9706317
Krasnobród,50.5460046,23.2115593
Biała Podlaska,52.0338399,23.1193948
Chełm,51.13558825,23.49393641703079
Lublin,51.218194499999996,22.554677562145155
Zamość,50.7170854,23.2525711
Kostrzyn nad Odrą,52.5898737,14.6536335
Witnica,52.6729399,14.8972121
Krosno Odrzańskie,52.0536361,15.0980258
Gubin,51.95734105,14.737042559250952
Trzciel,52.365166,15.873213
Skwierzyna,52.5967483,15.5010958
Międzyrzecz,52.4448261,15.578637
Otyń,51.8473213,15.7104
Kożuchów,51.7454762,15.5944541
Nowe Miasteczko,51.6908103,15.7311977
Bytom Odrzański,51.7308267,15.826918
Nowa Sól,51.8033431,15.706238052443426
Słubice,52.3557481,14.5662367
Ośno Lubuskie,52.455132,14.8682003
Rzepin,52.34432,14.8382902
Cybinka,52.1940293,14.7968841
